Date,AMZN
2021-03-30,-1.022003173828125
2021-03-31,1.9394989013671875
2021-04-01,3.34600830078125
2021-04-05,3.2864990234375
2021-04-06,-0.1455078125
2021-04-07,2.77850341796875
2021-04-08,0.9954986572265625
2021-04-09,3.6450042724609375
2021-04-12,0.3594970703125
2021-04-13,1.0305023193359375
2021-04-14,-3.350006103515625
2021-04-15,2.30450439453125
2021-04-16,1.0175018310546875
2021-04-19,-1.3715057373046875
2021-04-20,-1.865997314453125
2021-04-21,1.3665008544921875
2021-04-22,-2.6490020751953125
2021-04-23,1.592010498046875
2021-04-26,3.4059906005859375
2021-04-27,0.4215087890625
2021-04-28,2.053497314453125
2021-04-29,0.6405029296875
2021-04-30,-0.1945037841796875
2021-05-03,-4.0465087890625
2021-05-04,-3.730987548828125
2021-05-05,-2.0665130615234375
2021-05-06,1.79150390625
2021-05-07,-0.7379913330078125
2021-05-10,-5.055999755859375
2021-05-11,1.670989990234375
2021-05-12,-3.5984954833984375
2021-05-13,0.47650146484375
2021-05-14,3.071502685546875
2021-05-17,2.3744964599609375
2021-05-18,-1.9055023193359375
2021-05-19,-0.0240020751953125
2021-05-20,0.79400634765625
2021-05-21,-2.2299957275390625
2021-05-24,2.095489501953125
2021-05-25,0.7030029296875
2021-05-26,0.3054962158203125
2021-05-27,-1.75250244140625
2021-05-28,-0.35198974609375
2021-06-01,-0.22100830078125
2021-06-02,0.766998291015625
2021-06-03,-2.3489990234375
2021-06-04,0.96051025390625
2021-06-07,-0.4105072021484375
2021-06-08,3.3050079345703125
2021-06-09,0.85198974609375
2021-06-10,3.4250030517578125
2021-06-11,-0.1409912109375
2021-06-14,1.85198974609375
2021-06-15,-0.0370025634765625
2021-06-16,1.6060028076171875
2021-06-17,3.6995086669921875
2021-06-18,-0.11700439453125
2021-06-21,-1.647003173828125
2021-06-22,2.574005126953125
2021-06-23,-0.0810089111328125
2021-06-24,-2.73699951171875
2021-06-25,-2.3809967041015625
2021-06-28,2.1215057373046875
2021-06-29,0.212493896484375
2021-06-30,-0.3990020751953125
2021-07-01,-0.3594970703125
2021-07-02,3.9004974365234375
2021-07-06,8.238006591796875
2021-07-07,1.0419921875
2021-07-08,1.7415008544921875
2021-07-09,-0.6035003662109375
2021-07-12,-0.03948974609375
2021-07-13,-2.05950927734375
2021-07-14,0.21600341796875
2021-07-15,-2.5240020751953125
2021-07-16,-2.8784942626953125
2021-07-19,-1.201995849609375
2021-07-20,1.17999267578125
2021-07-21,0.600494384765625
2021-07-22,2.641510009765625
2021-07-23,0.9304962158203125
2021-07-26,2.15899658203125
2021-07-27,-3.6714935302734375
2021-07-28,0.196502685546875
