Date,GOOGL
2021-03-30,0.03400421142578125
2021-03-31,0.8024978637695312
2021-04-01,3.3629989624023438
2021-04-05,4.4589996337890625
2021-04-06,-0.4850006103515625
2021-04-07,1.4885025024414062
2021-04-08,0.5699996948242188
2021-04-09,1.0120010375976562
2021-04-12,-1.3024978637695312
2021-04-13,0.4904937744140625
2021-04-14,-0.6259994506835938
2021-04-15,2.1669998168945312
2021-04-16,-0.125
2021-04-19,0.35050201416015625
2021-04-20,-0.5374984741210938
2021-04-21,-0.03299713134765625
2021-04-22,-1.29150390625
2021-04-23,2.3704986572265625
2021-04-26,0.5
2021-04-27,-0.9474945068359375
2021-04-28,3.4029998779296875
2021-04-29,1.6859970092773438
2021-04-30,-1.9629974365234375
2021-05-03,-0.5210037231445312
2021-05-04,-1.8125
2021-05-05,0.397003173828125
2021-05-06,1.128997802734375
2021-05-07,0.7289962768554688
2021-05-10,-3.0089950561523438
2021-05-11,-1.084503173828125
2021-05-12,-3.4905014038085938
2021-05-13,1.4395065307617188
2021-05-14,2.4669952392578125
2021-05-17,0.5270004272460938
2021-05-18,-1.3225021362304688
2021-05-19,0.45149993896484375
2021-05-20,1.7725067138671875
2021-05-21,-0.6410064697265625
2021-05-24,3.3455047607421875
2021-05-25,0.09149932861328125
2021-05-26,0.8720016479492188
2021-05-27,-0.881500244140625
2021-05-28,-0.29150390625
2021-06-01,1.2164993286132812
2021-06-02,-0.5294952392578125
2021-06-03,-1.1505050659179688
2021-06-04,2.29949951171875
2021-06-07,0.43650054931640625
2021-06-08,-0.19300079345703125
2021-06-09,0.475006103515625
2021-06-10,1.3594970703125
2021-06-11,-0.24649810791015625
2021-06-14,0.9355010986328125
2021-06-15,-1.0260009765625
2021-06-16,-0.647003173828125
2021-06-17,0.9710006713867188
2021-06-18,-1.6324996948242188
2021-06-21,1.7014999389648438
2021-06-22,0.5179977416992188
2021-06-23,-0.20349884033203125
2021-06-24,0.3730010986328125
2021-06-25,0.0084991455078125
2021-06-28,0.02750396728515625
2021-06-29,-0.2635040283203125
2021-06-30,-0.1829986572265625
2021-07-01,0.35500335693359375
2021-07-02,2.8129959106445312
2021-07-06,0.9325027465820312
2021-07-07,0.28399658203125
2021-07-08,-1.4300003051757812
2021-07-09,0.4745025634765625
2021-07-12,1.457000732421875
2021-07-13,0.365997314453125
2021-07-14,0.8955001831054688
2021-07-15,-1.2320022583007812
2021-07-16,-0.03499603271484375
2021-07-19,-2.391998291015625
2021-07-20,1.631500244140625
2021-07-21,1.3395004272460938
2021-07-22,0.8724899291992188
2021-07-23,4.593505859375
2021-07-26,1.0200042724609375
2021-07-27,-2.135009765625
2021-07-28,4.194000244140625
2021-07-29,-0.316497802734375
2021-07-30,-1.050994873046875
2021-08-02,0.1280059814453125
2021-08-03,0.7754974365234375
2021-08-04,-0.5045013427734375
2021-08-05,1.1259918212890625
2021-08-06,-0.51300048828125
2021-08-09,1.17449951171875
2021-08-10,-0.105987548828125
2021-08-11,-0.5279998779296875
2021-08-12,0.9149932861328125
2021-08-13,0.5334930419921875
2021-08-16,0.582000732421875
2021-08-17,-1.6479949951171875
2021-08-18,-1.212493896484375
2021-08-19,0.230987548828125
2021-08-20,1.74951171875
2021-08-23,2.61199951171875
2021-08-24,1.220001220703125
2021-08-25,0.8174896240234375
2021-08-26,-0.63848876953125
2021-08-27,2.5634918212890625
2021-08-30,0.5865020751953125
2021-08-31,0.10699462890625
2021-09-01,0.51800537109375
2021-09-02,-1.928497314453125
2021-09-03,0.4524993896484375
2021-09-07,0.5410003662109375
2021-09-08,-0.589508056640625
2021-09-09,-0.149993896484375
2021-09-10,-2.6649932861328125
2021-09-13,1.4564971923828125
2021-09-14,0.2119903564453125
2021-09-15,1.885009765625
2021-09-16,-0.8195037841796875
2021-09-17,-2.80999755859375
2021-09-20,-2.08050537109375
2021-09-21,0.313507080078125
2021-09-22,1.25048828125
2021-09-23,0.9325103759765625
2021-09-24,0.998992919921875
2021-09-27,-1.1429901123046875
2021-09-28,-5.24200439453125
2021-09-29,-1.47650146484375
2021-09-30,-0.6775054931640625
2021-10-01,2.86700439453125
2021-10-04,-2.8834991455078125
2021-10-05,2.363494873046875
2021-10-06,1.5420074462890625
2021-10-07,1.660003662109375
2021-10-08,0.5605010986328125
2021-10-11,-0.8715057373046875
2021-10-12,-2.464996337890625
2021-10-13,1.13299560546875
2021-10-14,3.569000244140625
2021-10-15,0.2169952392578125
2021-10-18,1.410003662109375
2021-10-19,0.4589996337890625
2021-10-20,-1.4680023193359375
2021-10-21,0.11700439453125
2021-10-22,-4.3195037841796875
2021-10-25,-0.1194915771484375
2021-10-26,1.8614959716796875
2021-10-27,6.90899658203125
2021-10-28,-0.368499755859375
2021-10-29,2.1970062255859375
2021-11-01,-4.54901123046875
2021-11-02,1.9355010986328125
2021-11-03,1.1655120849609375
2021-11-04,1.66949462890625
2021-11-05,0.584503173828125
2021-11-08,0.1790008544921875
2021-11-09,-0.1125030517578125
2021-11-10,-3.0250091552734375
2021-11-11,-0.1269989013671875
2021-11-12,2.9114990234375
2021-11-15,-0.2259979248046875
2021-11-16,-0.57598876953125
2021-11-17,0.170989990234375
2021-11-18,1.79150390625
2021-11-19,-0.9120025634765625
2021-11-22,-2.6244964599609375
2021-11-23,-0.5200042724609375
2021-11-24,0.3379974365234375
2021-11-26,-3.9369964599609375
2021-11-29,3.347503662109375
2021-11-30,-3.63299560546875
2021-12-01,-0.84600830078125
2021-12-02,1.9145050048828125
2021-12-03,-0.964508056640625
2021-12-06,1.15350341796875
2021-12-07,4.114501953125
2021-12-08,0.9169921875
2021-12-09,-0.5479888916015625
2021-12-10,0.3629913330078125
2021-12-13,-2.17498779296875
2021-12-14,-1.9195098876953125
2021-12-15,2.53399658203125
2021-12-16,-1.9959869384765625
2021-12-17,-2.720001220703125
2021-12-20,-0.118011474609375
2021-12-21,1.865509033203125
2021-12-22,2.9424896240234375
2021-12-23,0.5015106201171875
2021-12-27,0.989990234375
2021-12-28,-1.2194976806640625
2021-12-29,-0.0319976806640625
2021-12-30,-0.454498291015625
2021-12-31,-1.3484954833984375
2022-01-03,0.139495849609375
2022-01-04,-0.5919952392578125
2022-01-05,-6.62451171875
2022-01-06,-0.027496337890625
2022-01-07,-0.730499267578125
2022-01-10,1.652496337890625
2022-01-11,1.066497802734375
2022-01-12,1.6945037841796875
2022-01-13,-2.8434906005859375
2022-01-14,0.89349365234375
2022-01-18,-3.4824981689453125
2022-01-19,-0.881500244140625
2022-01-20,-1.8090057373046875
2022-01-21,-2.95599365234375
2022-01-24,0.4524993896484375
2022-01-25,-3.8690032958984375
2022-01-26,2.298004150390625
2022-01-27,-0.227996826171875
2022-01-28,4.3459930419921875
2022-01-31,1.9524993896484375
