date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-01-03,119.91899082723506,120.23112159319935,119.38506083890786,119.70541381835938,119.70541381835938,144761800,0.0,0.0
2013-01-04,119.90256981842182,120.42827764098355,119.65614153481344,120.23113250732422,120.23113250732422,116817700,0.0,0.0
2013-01-07,119.80396821401126,120.01753264547713,119.45896119831026,119.90253448486328,119.90253448486328,110002500,0.0,0.0
2013-01-08,119.68898622047243,119.8532675387027,119.08934123483326,119.55755615234375,119.55755615234375,121265100,0.0,0.0
2013-01-09,119.8204148754502,120.19006354310241,119.63149196864424,119.86148834228516,119.86148834228516,90745600,0.0,0.0
2013-01-10,120.52687500377108,120.822586513541,119.90260072041964,120.81437683105469,120.81437683105469,130735400,0.0,0.0
2013-01-11,120.78149823157969,120.87185486332133,120.42829391995814,120.80615234375,120.80615234375,113917300,0.0,0.0
2013-01-14,120.65827634822726,120.80613833477847,120.28041796825276,120.72399139404297,120.72399139404297,89567200,0.0,0.0
2013-01-15,120.16543370621339,120.92115055379712,120.091508971297,120.80615234375,120.80615234375,93172600,0.0,0.0
2013-01-16,120.55972982616638,120.97864921137555,120.42829971297175,120.78972625732422,120.78972625732422,104849500,0.0,0.0
2013-01-17,121.32357151299554,121.91499413584117,120.87178860195264,121.56999969482422,121.56999969482422,133833500,0.0,0.0
2013-01-18,121.54539120819798,121.97253267068893,121.10181785341777,121.84110260009766,121.84110260009766,169906000,0.0,0.0
2013-01-22,121.84115292510711,122.498291015625,121.55365109367222,122.498291015625,122.498291015625,111797300,0.0,0.0
2013-01-23,122.49828666507587,122.80220785092662,122.27649990395622,122.69541931152344,122.69541931152344,104596100,0.0,0.0
2013-01-24,122.51465634520981,123.32786578361612,122.39965817012961,122.72823333740234,122.72823333740234,146426400,0.0,0.0
2013-01-25,123.11433751505494,123.41825866699219,122.69540562036876,123.41825866699219,123.41825866699219,147211600,0.0,0.0
2013-01-28,123.45107879501568,123.48394258004639,122.81037285939381,123.27037811279297,123.27037811279297,113357700,0.0,0.0
2013-01-29,123.02401064250587,123.91114526871505,122.9418636732046,123.75507354736328,123.75507354736328,105694400,0.0,0.0
2013-01-30,123.73858051165745,123.9850087639416,123.155367399047,123.27037811279297,123.27037811279297,137447700,0.0,0.0
2013-01-31,123.12253284705072,123.52503279816817,122.88432677564703,122.96646118164062,122.96646118164062,108975800,0.0,0.0
