2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,172.2902069091797,down
2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,169.4141082763672,down
2022-01-07,172.88999938964844,174.13999938964844,171.02999877929688,169.58154296875,up
2022-01-10,169.0800018310547,172.5,168.1699981689453,169.60125732421875,up
2022-01-11,172.32000732421875,175.17999267578125,170.82000732421875,172.44778442382812,up
2022-01-12,176.1199951171875,177.17999267578125,174.82000732421875,172.8910369873047,up
2022-01-13,175.77999877929688,176.6199951171875,171.7899932861328,169.60125732421875,down
2022-01-14,171.33999633789062,173.77999877929688,171.08999633789062,170.46803283691406,up
2022-01-18,171.50999450683594,172.5399932861328,169.41000366210938,167.24717712402344,down
2022-01-19,170.0,171.0800018310547,165.94000244140625,163.73086547851562,down
2022-01-20,166.97999572753906,169.67999267578125,164.17999267578125,162.03672790527344,down
2022-01-21,164.4199981689453,166.3300018310547,162.3000030517578,159.9683074951172,down
2022-01-24,160.02000427246094,162.3000030517578,154.6999969482422,159.19015502929688,down
2022-01-25,158.97999572753906,162.75999450683594,157.02000427246094,157.37782287597656,down
2022-01-26,163.5,164.38999938964844,157.82000732421875,157.28919982910156,down
2022-01-27,162.4499969482422,163.83999633789062,158.27999877929688,156.82623291015625,down
2022-01-28,165.7100067138672,170.35000610351562,162.8000030517578,167.76922607421875,up
2022-01-31,170.16000366210938,175.0,169.50999450683594,172.15228271484375,up
2022-02-01,174.00999450683594,174.83999633789062,172.30999755859375,171.98486328125,down
2022-02-02,174.75,175.8800048828125,173.3300018310547,173.19638061523438,up
2022-02-03,174.47999572753906,176.24000549316406,172.1199951171875,170.30056762695312,down
2022-02-04,171.67999267578125,174.10000610351562,170.67999267578125,170.01455688476562,down
2022-02-07,172.86000061035156,173.9499969482422,170.9499969482422,169.29466247558594,down
2022-02-08,171.72999572753906,175.35000610351562,171.42999267578125,172.42095947265625,up
2022-02-09,176.0500030517578,176.64999389648438,174.89999389648438,173.85096740722656,up
2022-02-10,174.13999938964844,175.47999572753906,171.5500030517578,169.74827575683594,down
2022-02-11,172.3300018310547,173.0800018310547,168.0399932861328,166.31625366210938,down
2022-02-14,167.3699951171875,169.5800018310547,166.55999755859375,166.5529327392578,up
2022-02-15,170.97000122070312,172.9499969482422,170.25,170.40907287597656,up
2022-02-16,171.85000610351562,173.33999633789062,170.0500030517578,170.17237854003906,down
2022-02-17,171.02999877929688,171.91000366210938,168.47000122070312,166.5529327392578,down
2022-02-18,169.82000732421875,170.5399932861328,166.19000244140625,164.99472045898438,down
2022-02-22,164.97999572753906,166.69000244140625,162.14999389648438,162.05580139160156,down
2022-02-23,165.5399932861328,166.14999389648438,159.75,157.8643341064453,down
2022-02-24,152.5800018310547,162.85000610351562,152.0,160.49755859375,up
2022-02-25,163.83999633789062,165.1199951171875,160.8699951171875,162.57846069335938,up
2022-02-28,163.05999755859375,165.4199981689453,162.42999267578125,162.8447723388672,up
2022-03-01,164.6999969482422,166.60000610351562,161.97000122070312,160.95118713378906,down
2022-03-02,164.38999938964844,167.36000061035156,162.9499969482422,164.26490783691406,up
2022-03-03,168.47000122070312,168.91000366210938,165.5500030517578,163.939453125,down
