strike,net_gex,net_dex,total_oi,call_gex,put_gex,charm_exp,vanna_exp,gross_gex,call_dex,put_dex
-1.0,-292596190.3055222,140848327.82999998,13332097.0,7460.83,17860.0,,,,,
1200.0,-5553.477568378077,-963.1800000000001,26774.0,0.0,-5553.477568378077,67837243.9153186,-82127691.09330472,5553.477568378077,0.0,-963.1800000000001
1400.0,-7267.8702149058645,-1254.65,20773.0,0.0,-7267.8702149058645,77883734.596133,-105060156.92664371,7267.8702149058645,0.0,-1254.65
1600.0,-9129.090102386941,-1428.9499999999998,18456.0,0.0,-9129.090102386941,92088359.64926456,-127645985.97325683,9129.090102386941,0.0,-1428.9499999999998
1800.0,-11492.989173233158,-1807.02,16086.0,0.0,-11492.989173233158,106819002.007382,-155977959.77371633,11492.989173233158,0.0,-1807.02
2000.0,-43870.783080700945,-6548.879999999999,47260.0,0.0,-43870.783080700945,398001633.38624066,-571653600.5636628,43870.783080700945,0.0,-6548.879999999999
2200.0,-64858.463637318026,-9423.35,52113.0,0.0,-64858.463637318026,552148394.1225291,-820220292.2210724,64858.463637318026,0.0,-9423.35
2400.0,-55155.250657106786,-8260.92,30431.0,0.0,-55155.250657106786,401700864.4322913,-692049362.7105083,55155.250657106786,0.0,-8260.92
2500.0,-67995.08737002604,-9329.759999999998,38874.0,0.0,-67995.08737002604,559091893.8260802,-811320832.6688328,67995.08737002604,0.0,-9329.759999999998
2600.0,-40823.48998441023,-5286.9400000000005,26401.0,0.0,-40823.48998441023,383966010.722942,-469193592.80913574,40823.48998441023,0.0,-5286.9400000000005
2700.0,-125591.98578746965,-17249.82,53896.0,0.0,-125591.98578746965,937093641.31757,-1470209920.1485484,125591.98578746965,0.0,-17249.82
2800.0,-161029.3882593847,-22296.559999999998,59559.0,0.0,-161029.3882593847,1125957615.123244,-1878225494.676275,161029.3882593847,0.0,-22296.559999999998
2900.0,-14420.426478019695,-1936.35,6986.0,0.0,-14420.426478019695,142635111.7989741,-163150496.5821792,14420.426478019695,0.0,-1936.35
3000.0,-116315.8481979361,-15668.6,41342.0,0.0,-116315.8481979361,903272848.1044561,-1321895981.426419,116315.8481979361,0.0,-15668.6
3100.0,-20197.06892090606,-2523.23,8576.0,0.0,-20197.06892090606,195037301.6454802,-217577706.71621647,20197.06892090606,0.0,-2523.23
3200.0,-94877.16643492166,-12155.670000000002,33155.0,0.0,-94877.16643492166,776750941.7995636,-1025944325.6630436,94877.16643492166,0.0,-12155.670000000002
3300.0,-154280.1799826565,-19873.22,43231.0,0.0,-154280.1799826565,1137147832.378789,-1673510143.0791113,154280.1799826565,0.0,-19873.22
3400.0,-119290.6224174676,-15219.05,32271.0,0.0,-119290.6224174676,895895654.1475145,-1269251242.1645184,119290.6224174676,0.0,-15219.05
3450.0,-3437.241865689356,-303.84,1688.0,0.0,-3437.241865689356,47044015.18499407,-29974282.300307643,3437.241865689356,0.0,-303.84
3500.0,-399778.4108856442,-49770.37,81444.0,0.0,-399778.4108856442,2567235724.5172176,-4187773674.359456,399778.4108856442,0.0,-49770.37
3550.0,-1568.432078626192,-133.20000000000002,666.0,0.0,-1568.432078626192,20672147.121039663,-13491200.775684942,1568.432078626192,0.0,-133.20000000000002
3600.0,-100328.19232225123,-11473.76,26137.0,0.0,-100328.19232225123,849463094.0031958,-993658271.5593729,100328.19232225123,0.0,-11473.76
3650.0,-2376.563236680636,-179.1,2752.0,0.0,-2376.563236680636,77869966.93245833,-17882590.412931997,2376.563236680636,0.0,-179.1
3700.0,-102921.35115940381,-12161.2,19556.0,0.0,-102921.35115940381,696472627.2379342,-1033807826.0540596,102921.35115940381,0.0,-12161.2
3750.0,-5228.2261221414665,-399.21999999999997,3735.0,0.0,-5228.2261221414665,118800384.8366445,-40091906.033494316,5228.2261221414665,0.0,-399.21999999999997
3800.0,-295211.90489758225,-37243.83,46951.0,0.0,-295211.90489758225,1741369501.8277042,-3024923662.617931,295211.90489758225,0.0,-37243.83
3850.0,-34953.27695363816,-4168.95,6498.0,0.0,-34953.27695363816,243823325.30212268,-346374131.24673903,34953.27695363816,0.0,-4168.95
3900.0,-115944.93244116877,-11835.72,28305.0,0.0,-115944.93244116877,1146094189.5151653,-1043932415.5928501,115944.93244116877,0.0,-11835.72
