strike,net_gex,net_dex,total_oi,call_gex,put_gex,charm_exp,vanna_exp,gross_gex,call_dex,put_dex
-1.0,67066031.78815538,175054466.64,12504068.0,7500.58,18786.0,,,,,
600.0,-1216.3519511809236,-344.25,34425.0,0.0,-1216.3519511809236,19772491.18958377,-20267947.42144951,1216.3519511809236,0.0,-344.25
800.0,-2611.440834234216,-471.38,35861.0,0.0,-2611.440834234216,36854307.50527434,-42308974.34919588,2611.440834234216,0.0,-471.38
1000.0,-5818.1737098912,-1022.53,43382.0,0.0,-5818.1737098912,73674841.39687067,-90940104.049347,5818.1737098912,0.0,-1022.53
1200.0,-5561.157518578885,-1021.94,24963.0,0.0,-5561.157518578885,63823665.5452411,-84262668.71211289,5561.157518578885,0.0,-1021.94
1400.0,-6301.0887390565085,-1017.69,17724.0,0.0,-6301.0887390565085,66523788.11663159,-91906996.99204679,6301.0887390565085,0.0,-1017.69
1600.0,-9550.264295972042,-1556.9700000000003,22465.0,0.0,-9550.264295972042,106207035.67065398,-132697750.62057929,9550.264295972042,0.0,-1556.9700000000003
1800.0,-13958.48750471449,-2160.8,28190.0,0.0,-13958.48750471449,153153796.0478034,-186466177.7112399,13958.48750471449,0.0,-2160.8
2000.0,-53740.433302538186,-8391.0,70686.0,0.0,-53740.433302538186,539575894.4806786,-700510125.029546,53740.433302538186,0.0,-8391.0
2200.0,-76179.55426456437,-11692.39,69152.0,0.0,-76179.55426456437,668125452.787579,-972101313.5686759,76179.55426456437,0.0,-11692.39
2300.0,-2127.6665180163996,-270.24,4504.0,0.0,-2127.6665180163996,35107192.07269755,-23075325.266334865,2127.6665180163996,0.0,-270.24
2400.0,-60493.800860508905,-9412.98,37596.0,0.0,-60493.800860508905,458032166.7524286,-763025871.1359972,60493.800860508905,0.0,-9412.98
2500.0,-90806.46937782624,-13092.740000000002,78251.0,0.0,-90806.46937782624,872739099.6803777,-1082645371.0314724,90806.46937782624,0.0,-13092.740000000002
2600.0,-48902.042254558844,-4410.13,36212.0,17.588747274844135,-48919.63100183369,468194513.5115718,-570283426.8137249,48937.21974910853,2297.48,-6707.610000000001
2700.0,-145052.8862825395,-20985.120000000003,59913.0,0.0,-145052.8862825395,1013910425.9526595,-1739762981.960438,145052.8862825395,0.0,-20985.120000000003
2800.0,-167614.37795549416,-24215.65,67971.0,10.280491638203369,-167624.65844713236,1160726611.8115003,-1989736803.9475703,167634.93893877056,298.32,-24513.97
2900.0,-17264.42254419273,622.42,9449.0,112.77538807826932,-17377.197932271,158508219.89747483,-195699835.4077996,17489.97332034927,2982.0,-2359.58
3000.0,-139574.2246707525,-9233.08,61766.0,300.6032120146941,-139874.8278827672,1155249636.8288198,-1561087692.5051596,140175.4310947819,9755.65,-18988.73
3100.0,-20920.03993904253,-2659.48,10541.0,2.752018329850072,-20922.79195737238,183978688.8056725,-227696340.40155104,20925.54397570223,99.57000000000001,-2759.0499999999997
3200.0,-86558.81541765411,-6553.49,31524.0,137.34694899262888,-86696.16236664675,677727036.0500784,-937994554.8930696,86833.50931563937,4781.879999999999,-11335.37
3300.0,-138108.78230083085,-18271.440000000002,38540.0,6.244778273307975,-138115.02707910415,918187821.2595664,-1504251572.95751,138121.27185737746,199.10000000000002,-18470.54
3400.0,-99073.11822060344,-8306.060000000001,29309.0,95.23858159720028,-99168.35680220064,745761543.0972781,-1039709310.359298,99263.59538379784,4287.900000000001,-12593.960000000001
3450.0,-4472.919332353539,-454.41,1683.0,0.0,-4472.919332353539,48580455.79884904,-41941566.00863669,4472.919332353539,0.0,-454.41
3500.0,-411195.0059407967,-54571.88,77829.0,2.2986907692887932,-411197.30463156593,2342796844.341345,-4399957865.36937,411199.6033223352,99.78,-54671.659999999996
3550.0,-2010.4435101389727,-203.66999999999996,657.0,0.0,-2010.4435101389727,21028671.901166007,-18577529.20717145,2010.4435101389727,0.0,-203.66999999999996
3600.0,-94224.16139446152,-11177.14,25261.0,8.351981683446445,-94232.51337614497,737164841.5556847,-944852492.5349947,94240.86535782841,199.06,-11376.199999999999
3650.0,-3435.1119973831233,-315.68000000000006,2717.0,0.0,-3435.1119973831233,59271455.858281925,-28799658.451686986,3435.1119973831233,0.0,-315.68000000000006
3700.0,-66827.11547689444,-7896.49,14426.0,8.097958775819697,-66835.21343567026,469546803.63660014,-668021986.7410852,66843.31139444608,199.05,-8095.540000000001
3750.0,-7317.139121959359,-661.1,3717.0,0.0,-7317.139121959359,106565504.12461749,-61671848.66130879,7317.139121959359,0.0,-661.0999999999999
3800.0,-223145.5717752545,-26888.84,40151.0,8.067737401327236,-223153.63951265585,1426056956.759637,-2220424574.93785,223161.70725005717,299.3,-27188.139999999996
3850.0,-27188.92044589234,-2943.8500000000004,5414.0,12.361669495541385,-27201.282115387883,189125564.1035261,-266427688.96752107,27213.643784883425,298.76,-3242.6100000000006
3900.0,-117549.68391655553,-12299.75,27713.0,0.0,-117549.68391655553,1051049381.4978677,-1074105874.3316417,117549.68391655553,0.0,-12299.75
3950.0,-25187.587879402297,-2894.3,4831.0,3.5745517285566852,-25191.162431130855,177298652.88284683,-243450753.1816435,25194.73698285941,99.69,-2993.9900000000002
3975.0,-1759.3997122158107,-167.0,334.0,0.0,-1759.3997122158107,15616764.754531894,-15356878.226958297,1759.3997122158107,0.0,-167.0
4000.0,-899426.7903288178,6794040.7700000005,189655.0,149441.6080518548,-1048868.3983806726,7033835083.455298,-12294988760.161575,1198310.0064325274,6923316.330000001,-129275.56
4025.0,-2983.780312501385,-280.37,529.0,0.0,-2983.780312501385,25957528.04152357,-25828372.748056278,2983.780312501385,0.0,-280.37
4050.0,-58019.73999514412,-5550.06,7217.0,45.24880139010752,-58064.98879653423,311779623.4926107,-564649593.1234134,58110.23759792434,1496.55,-7046.610000000001
4075.0,-2457.7461666809995,-232.56,408.0,0.0,-2457.7461666809995,20953479.93552484,-21107769.369729944,2457.7461666809995,0.0,-232.56
4100.0,-118798.82113285149,69032.44,17295.0,3395.6649033269623,-122194.48603617845,758504958.6470884,-1202281824.4886022,125590.15093950542,83223.59,-14191.15
4125.0,-19381.442077233125,-2366.05,1741.0,0.0,-19381.442077233125,87030491.44289455,-188176955.1623128,19381.442077233125,0.0,-2366.05
4150.0,-43298.85369012371,20759.63,7574.0,1306.4497091611504,-44605.30339928486,309066297.1365625,-432663800.47077495,45911.75310844601,25888.120000000003,-5128.490000000001
4175.0,-8982.630837513818,-1018.53,919.0,0.0,-8982.630837513818,48880034.40973233,-83666681.65964085,8982.630837513818,0.0,-1018.53
4200.0,-212935.58025983773,146228.97999999998,32480.0,10422.156634867368,-223357.73689470507,1480126981.867426,-2177383669.2446666,233779.89352957244,171287.24000000002,-25058.260000000002
4225.0,-6499.387499175005,-292.53,1445.0,26.040351458405667,-6525.427850633411,61424091.203761466,-57291763.76455506,6551.468202091817,397.68,-690.2099999999999
4250.0,-64099.25155257086,-5782.5599999999995,9488.0,70.55213116499732,-64169.80368373585,471541538.0520634,-570692371.3842778,64240.35581490085,993.7000000000002,-6776.259999999999
4275.0,-13686.114963174157,9961.14,1935.0,875.407658137984,-14561.522621312142,92483870.01183552,-143936608.89244276,15436.930279450127,11620.74,-1659.6
4300.0,-186308.79481439994,153554.52,20494.0,14123.408957121046,-200432.203771521,1081283054.7069254,-2025820461.8848176,214555.61272864204,176802.72999999998,-23248.210000000003
4325.0,-12967.398257154506,-1214.31,1691.0,16.96372022461019,-12984.361977379116,87218707.3555978,-115785290.01944657,13001.325697603726,198.44,-1412.75
4350.0,-50702.403027398796,-3008.54,5627.0,231.08613435010776,-50933.489161748905,304512888.79243714,-458940142.66000164,51164.575296099014,2578.58,-5587.12
4375.0,-17561.360843431114,2342.4800000000005,2788.0,397.28468228796874,-17958.645525719083,145689824.0969365,-157979128.8221021,18355.930208007052,4163.04,-1820.56
4400.0,-309913.8598729229,102179.39,34998.0,13139.805803145462,-323053.66567606834,1958082643.5432303,-3022084451.2359242,336193.4714792138,137688.52000000002,-35509.13
4425.0,-20534.304215889715,-1427.98,2528.0,73.69223511082222,-20607.996451000537,144851909.65282887,-178602532.26738247,20681.68868611136,693.0,-2120.98
4450.0,-88758.6240033609,27447.55,12493.0,3384.998214732182,-92143.62221809308,632650428.7271994,-841670980.6320177,95528.62043282526,37505.159999999996,-10057.61
4475.0,-17894.966370210903,9303.66,2623.0,1290.2786534556953,-19185.245023666597,160892632.13078988,-170411547.46323827,20475.52367712229,11076.8,-1773.1399999999999
4500.0,-722353.298601687,238199.69,60679.0,39336.405104526326,-761689.7037062133,3739115737.5178504,-7241896987.7778225,801026.1088107397,324020.12,-85820.43000000001
4525.0,-21078.234460822634,-1837.9900000000002,2473.0,33.944033805376364,-21112.17849462801,152053872.90127078,-177903642.47703853,21146.122528433385,296.81,-2134.8
4550.0,-49391.97770503272,-3305.8,5793.0,254.89362458440925,-49646.871329617126,337843533.7925556,-427449452.9709592,49901.764954201535,1975.6,-5281.4
4575.0,-22040.090756351266,-2119.4300000000003,2169.0,13.706681860806832,-22053.797438212074,142995308.35646576,-185228670.70302778,22067.50412007288,98.67,-2218.1000000000004
4600.0,-359992.1397047594,202239.38999999998,37334.0,35004.27391429002,-394996.4136190494,2425330317.93,-3727461813.497387,430000.6875333394,243589.81999999998,-41350.42999999999
4625.0,-39439.146545185744,-1140.84,4041.0,404.39740310360366,-39843.54394828935,268169221.5861804,-336774040.6401192,40247.94135139295,2959.7,-4100.54
4650.0,-101045.94638686246,6323.920000000001,8711.0,2520.640465276443,-103566.5868521389,615281023.101647,-892871251.9961902,106087.22731741535,16856.280000000002,-10532.36
4675.0,-40391.419006945085,2594.48,3268.0,1002.0615106870315,-41393.48051763212,237391447.96023902,-355187466.88447607,42395.54202831915,6805.26,-4210.78
4700.0,-386283.43294358515,199782.29,28424.0,41637.483974725445,-427920.91691831057,2024969960.0437894,-4105749190.4002757,469558.400893036,246591.4,-46809.11
4725.0,-35289.3462900361,5477.380000000001,3063.0,1604.1335049465092,-36893.47979498261,229216143.41238526,-318448741.0075948,38497.613299929115,9141.57,-3664.19
4750.0,-230264.5307842482,-16123.969999999998,18470.0,950.0274131216871,-231214.55819736986,1450458250.1676688,-1856512032.5904982,232164.58561049154,5506.73,-21630.699999999997
4775.0,-67661.10097462157,-4199.349999999999,5915.0,473.4615113438207,-68134.56248596539,467405062.9498326,-541699610.7709707,68608.02399730921,2147.3,-6346.65
4800.0,-598336.7343239541,216762.06,53936.0,51968.800847218095,-650305.5351711722,4101628975.978218,-5710981963.275617,702274.3360183904,279565.10000000003,-62803.04
4825.0,-43941.819100228306,-3826.06,2859.0,76.54941497269726,-44018.368515201,229243849.03369987,-361837434.50981367,44094.917930173695,693.4,-4519.46
4850.0,-234566.4332167144,24814.160000000003,16100.0,7803.438786469878,-242369.87200318425,1287719945.3183694,-2041840930.0305793,250173.31078965415,49742.380000000005,-24928.22
4875.0,-82297.13306500355,-7235.09,7452.0,21.362853067064513,-82318.49591807062,632193326.240994,-623666023.3916476,82339.85877113769,97.87,-7332.96
4900.0,-452298.3752759229,200711.27000000002,30049.0,57785.25155039741,-510083.6268263203,2378812111.304654,-4771533349.003822,567868.8783767177,255511.34,-54800.07000000001
4925.0,-76813.26312158215,-6314.93,4776.0,350.5181046110453,-77163.7812261932,412528810.670727,-617503191.2623756,77514.29933080425,1360.85,-7675.78
4950.0,-113772.72907733297,-2992.77,7207.0,1944.253277478119,-115716.98235481109,641754004.3973763,-922915293.42078,117661.2356322892,8102.6,-11095.37
4975.0,-102625.56665541884,-5503.070000000001,8611.0,1029.9399994917926,-103655.50665491063,768410501.3860302,-789361876.893898,104685.44665440242,4093.32,-9596.390000000001
5000.0,-1370208.413344763,18677232.88,484537.0,4179106.520182062,-5549314.933526825,53811067948.58431,-76949105588.46405,9728421.453708887,19244501.01,-567268.13
5005.0,-93.12880834223408,93.03,103.0,10.640917743764108,-103.76972608599819,5616664.853839121,-474923.3128874006,114.4106438297623,99.15,-6.12
5010.0,-82.21327524946504,93.69000000000001,92.0,10.672173193763033,-92.88544844322807,5070273.907310328,-428584.58830622205,103.5576216369911,99.15,-5.46
5015.0,1.4786092624485878,98.61,10.0,10.708709906018601,-9.230100643570013,963591.4875500676,-71746.4742292194,19.938810549588617,99.15,-0.5399999999999999
5020.0,9.714877196828077,99.09,2.0,10.745299932807526,-1.0304227359794502,562500.3343246934,-36874.382356610164,11.775722668786976,99.15,-0.06
5025.0,-78590.7308063334,-5536.400000000001,4360.0,611.8351569799378,-79202.56596331335,400246097.52327824,-626074240.4449399,79814.40112029327,2338.31,-7874.71
5030.0,2.4919862999858413,98.67,9.0,10.813263105623156,-8.321276805637314,917389.7499515679,-68174.39768328948,19.134539911260468,99.15,-0.48
5035.0,8.75989909257791,99.03,3.0,10.849979465452764,-2.0900803728748536,614778.688152431,-41710.8960358553,12.940059838327617,99.15,-0.12
