strike,net_gex,net_dex,total_oi,call_gex,put_gex,charm_exp,vanna_exp,gross_gex,call_dex,put_dex
-1.0,469275685.1596775,163490777.98000002,13618193.0,7462.92,18147.0,,,,,
800.0,-793.7070082433592,-104.90000000000002,10490.0,0.0,-793.7070082433592,10735466.664336111,-12956363.63026422,793.7070082433592,0.0,-104.90000000000002
1000.0,-2282.5063681468655,-350.98,16328.0,0.0,-2282.5063681468655,26655623.28814987,-36650601.225863986,2282.5063681468655,0.0,-350.98
1200.0,-5673.664788796364,-958.51,26550.0,0.0,-5673.664788796364,66143851.549843505,-85438112.2366658,5673.664788796364,0.0,-958.51
1400.0,-7299.5833166612065,-1247.85,20631.0,0.0,-7299.5833166612065,74976266.18281409,-107529126.08209412,7299.5833166612065,0.0,-1247.85
1600.0,-9455.70250252847,-1580.2599999999998,18525.0,0.0,-9455.70250252847,91338889.8654422,-134264233.79702112,9455.70250252847,0.0,-1580.2599999999998
1800.0,-11714.701091250747,-1824.12,16026.0,0.0,-11714.701091250747,104201267.10923848,-161685451.1978545,11714.701091250747,0.0,-1824.12
2000.0,-47305.831979326744,-7225.58,49710.0,0.0,-47305.831979326744,414846278.45067275,-623812226.0050683,47305.831979326744,0.0,-7225.58
2200.0,-67356.90120640497,-9932.42,52168.0,0.0,-67356.90120640497,547800829.7740752,-864312639.7122052,67356.90120640497,0.0,-9932.42
2400.0,-58929.671308414974,-8912.68,35052.0,0.0,-58929.671308414974,438809640.17354405,-745367048.6046374,58929.671308414974,0.0,-8912.68
2500.0,-72696.95114695218,-10220.07,55157.0,0.0,-72696.95114695218,708483675.3677701,-867708058.5793917,72696.95114695218,0.0,-10220.07
2600.0,-43606.306752088865,-5759.32,28141.0,0.0,-43606.306752088865,406708363.4202839,-505747799.93445736,43606.306752088865,0.0,-5759.32
2700.0,-130999.1656308727,-18355.3,56060.0,0.0,-130999.1656308727,948130018.1943524,-1553559761.9104586,130999.1656308727,0.0,-18355.3
2800.0,-170390.07985773616,-23589.08,72871.0,0.0,-170390.07985773616,1258896586.1418602,-1991836377.6280336,170390.07985773616,0.0,-23589.08
2900.0,-17797.891569703745,-2286.94,10135.0,0.0,-17797.891569703745,166900242.95704138,-198783045.81632322,17797.891569703745,0.0,-2286.94
3000.0,-145786.4718930564,-18964.04,66238.0,0.0,-145786.4718930564,1218685787.041609,-1623484752.125864,145786.4718930564,0.0,-18964.04
3100.0,-20643.136888469842,-2593.09,10894.0,0.0,-20643.136888469842,187066982.35019135,-222708332.33226332,20643.136888469842,0.0,-2593.09
3200.0,-102983.27109097128,-13355.499999999998,35393.0,0.0,-102983.27109097128,763345142.2487557,-1128955362.898494,102983.27109097128,0.0,-13355.499999999998
3300.0,-160445.0831028735,-21049.65,43373.0,0.0,-160445.0831028735,1070903795.8777307,-1760048312.411475,160445.0831028735,0.0,-21049.65
