strike,net_gex,net_dex,total_oi,call_gex,put_gex,charm_exp,vanna_exp,gross_gex,call_dex,put_dex
-1.0,80739252.69975531,232282024.25,14112220.0,7709.96,21690.0,,,,,
1200.0,-624.5127979302695,-104.80000000000001,2096.0,0.0,-624.5127979302695,5647541.83177151,-10524195.737394514,624.5127979302695,0.0,-104.80000000000001
1400.0,-2648.552721546619,-445.31,6279.0,0.0,-2648.552721546619,24558396.929666005,-41557872.35390922,2648.552721546619,0.0,-445.31
1600.0,-5703.565123907126,-982.75,8825.0,0.0,-5703.565123907126,46147535.173004985,-88304343.45105407,5703.565123907126,0.0,-982.75
1800.0,-6579.60909975112,-1067.3899999999999,9650.0,0.0,-6579.60909975112,63431894.38725773,-93186823.27644193,6579.60909975112,0.0,-1067.3899999999999
2000.0,-18576.8709915932,-2941.3999999999996,20663.0,0.0,-18576.8709915932,171906207.4978352,-254043401.06318763,18576.8709915932,0.0,-2941.3999999999996
2200.0,-29267.45192742686,290910.57,29012.0,6.326872507774624,-29273.778799934636,363457219.9628714,-383721088.7880251,29280.105672442412,295200.0,-4289.43
2400.0,-35166.79390584216,-4976.259999999999,29339.0,0.0,-35166.79390584216,336310884.5126076,-446484965.3964102,35166.79390584216,0.0,-4976.259999999999
2500.0,-2956.594267218511,-236.72000000000003,23672.0,0.0,-2956.594267218511,180271936.11169362,-22229191.57219553,2956.594267218511,0.0,-236.72000000000003
2600.0,-9341.402732021572,6592.65,8936.0,1.2622727297286247,-9342.665004751301,96504108.24623702,-117290909.86324634,9343.927277481029,7900.0,-1307.35
2700.0,-20871.660387927972,-2614.4,14799.0,0.04018825544546355,-20871.700576183415,197405096.3059095,-252511447.3146011,20871.740764438862,200.0,-2814.4
2800.0,-61229.98779377455,-7833.11,33199.0,0.09831046361768174,-61230.086104238166,509432678.3394969,-741261004.1949831,61230.184414701784,400.0,-8233.11
2900.0,-7385.1878328448465,2010.01,7463.0,0.884526516276979,-7386.072359361124,79554929.46759477,-88739474.91571313,7386.9568858774,3000.0,-989.99
3000.0,-70243.35721574967,-3301.23,45702.0,2.0211974748156756,-70245.37841322449,650739741.1132442,-822977016.3615161,70247.3996106993,5800.0,-9101.23
3100.0,-5568.443183279888,-732.96,3895.0,0.0,-5568.443183279888,57523395.50177637,-65621425.981446005,5568.443183279888,0.0,-732.96
3200.0,-55886.09881908443,13173.98,25705.0,377.4576251524612,-56263.55644423689,493200927.2488692,-645946915.045389,56641.014069389355,20154.01,-6980.03
3300.0,-105712.32346311414,-12807.99,37033.0,0.0,-105712.32346311414,860178270.4329385,-1178361992.2890668,105712.32346311414,0.0,-12807.99
3400.0,-75154.13283007906,-9276.41,26736.0,0.013147973084415333,-75154.14597805215,587727989.7287613,-851353352.02439,75154.15912602523,100.0,-9376.41
3450.0,-1016.2120711486397,-67.4,1685.0,0.0,-1016.2120711486397,25579546.164224178,-8299879.810730351,1016.2120711486397,0.0,-67.4
3500.0,-280968.06974836724,-32969.26,74892.0,0.0,-280968.06974836724,2055778516.0646012,-3056922503.3385134,280968.06974836724,0.0,-32969.26
3550.0,-354.0179748549969,-19.74,658.0,0.0,-354.0179748549969,8617571.849598486,-2950384.276990427,354.0179748549969,0.0,-19.74
