strike,net_gex,net_dex,total_oi,call_gex,put_gex,charm_exp,vanna_exp,gross_gex,call_dex,put_dex
-1.0,-539382552.3885459,144875519.19,14051119.0,7357.49,19160.0,,,,,
600.0,-2203.857793082163,-509.24,50924.0,0.0,-2203.857793082163,32289057.39801748,-36915810.53680728,2203.857793082163,0.0,-509.24
800.0,-2888.453033510351,-510.56,37820.0,0.0,-2888.453033510351,40127175.559309274,-45618866.171271846,2888.453033510351,0.0,-510.56
1000.0,-6310.0030488066905,-1075.4099999999999,44747.0,0.0,-6310.0030488066905,79087336.54014064,-95723532.05257422,6310.0030488066905,0.0,-1075.4099999999999
1200.0,-6741.622273847374,-1268.25,27532.0,0.0,-6741.622273847374,74605346.03634794,-99612217.61993751,6741.622273847374,0.0,-1268.25
1400.0,-9398.782782585431,-1487.66,35873.0,0.0,-9398.782782585431,120711997.49459445,-131503367.65033586,9398.782782585431,0.0,-1487.66
1600.0,-13835.814942308712,-2187.6400000000003,41113.0,0.0,-13835.814942308712,185429609.09770465,-181566560.78386652,13835.814942308712,0.0,-2187.6400000000003
1800.0,-16508.8025555786,-2607.04,30361.0,0.0,-16508.8025555786,181094503.15608853,-215196058.86604875,16508.8025555786,0.0,-2607.04
2000.0,-49167.22984686692,270112.39,76507.0,10010.286280393902,-59177.516127260824,714126975.1119667,-829249046.9789796,69187.80240765473,279046.59,-8934.2
2200.0,-80333.32895443276,130988.43999999999,72447.0,1174.6892344703488,-81508.01818890311,752586349.8175124,-1019888185.2382836,82682.70742337345,143142.37,-12153.93
2300.0,-2212.2160771515555,1572.46,4522.0,18.145274551670944,-2230.3613517032263,38457057.71961544,-23062817.785165355,2248.506626254897,1797.66,-225.20000000000002
2400.0,-67900.22968127324,-10388.95,39699.0,0.0,-67900.22968127324,506404337.4130264,-835069671.2565958,67900.22968127324,0.0,-10388.95
2500.0,-94422.44929235047,-13192.530000000002,78235.0,0.0,-94422.44929235047,977293904.5596514,-1078451729.2822556,94422.44929235047,0.0,-13192.530000000002
2600.0,-54628.764409673386,10776.079999999998,38489.0,151.0668760544981,-54779.83128572788,589512643.54171,-615418766.3793719,54930.89816178238,18179.93,-7403.849999999999
2700.0,-151042.810513378,-21444.62,59990.0,1.2814319251749609,-151044.0919453032,1058460201.8345644,-1746177652.418097,151045.37337722836,99.85000000000001,-21544.47
2800.0,-181955.91665348053,-25168.800000000003,70339.0,29.924025749130767,-181985.84067922964,1288789476.2726858,-2086619890.2264948,182015.7647049788,795.28,-25964.08
