strike,net_gex,net_dex,total_oi,call_gex,put_gex,charm_exp,vanna_exp,gross_gex,call_dex,put_dex
-1.0,71210168.23058419,145068010.87,13257378.0,7509.2,20257.0,,,,,
1400.0,-2429.930940553392,-436.45000000000005,5001.0,0.0,-2429.930940553392,20498216.691994935,-37377916.296183765,2429.930940553392,0.0,-436.45000000000005
1600.0,-8264.214420992337,-1459.45,12072.0,0.0,-8264.214420992337,64937331.227746986,-123480199.00235583,8264.214420992337,0.0,-1459.45
1800.0,-7477.108703429605,-1244.67,9279.0,0.0,-7477.108703429605,63469109.062772445,-104551286.57937093,7477.108703429605,0.0,-1244.67
2000.0,-18602.95677869062,-1266.01,17834.0,0.2920742226345126,-18603.248852913253,155349237.27618018,-248945891.59006473,18603.540927135888,1600.0,-2866.01
2200.0,-28412.32833192145,-4291.26,24298.0,0.0,-28412.32833192145,240241446.79914892,-365943406.24454594,28412.32833192145,0.0,-4291.26
2400.0,-43384.2139387968,-6411.889999999999,26199.0,0.0,-43384.2139387968,337919860.29023254,-541847135.4302602,43384.2139387968,0.0,-6411.889999999999
2500.0,-1590.8440481611085,-106.24,10624.0,0.0,-1590.8440481611085,73637879.47317095,-11692251.199774634,1590.8440481611085,0.0,-106.24
2600.0,-12054.912604232646,5989.02,5986.0,0.18250405858910895,-12055.095108291234,86087231.28215018,-149546907.00203252,12055.277612349824,7800.0,-1810.98
2700.0,-24531.76137257353,-3307.84,10510.0,0.04614237270371139,-24531.80751494623,176134476.91631547,-293003766.0264975,24531.853657318934,200.0,-3507.84
2800.0,-138460.37982112708,-18407.06,57789.0,0.02707033370442619,-138460.4068914608,1066539970.96318,-1593620244.660083,138460.43396179448,400.0,-18807.06
2900.0,-14818.21173073031,1085.7799999999997,7452.0,0.8815852253098988,-14819.09331595562,130980620.59149241,-165604028.13043228,14819.97490118093,3000.0,-1914.2200000000003
3000.0,-124738.36848315185,-10122.980000000001,56145.0,0.6885689436356892,-124739.05705209548,1066470294.5549762,-1374895524.5408728,124739.74562103912,5800.0,-15922.980000000001
3100.0,-15392.113302297379,-1963.8700000000001,6162.0,0.0,-15392.113302297379,126847357.20151411,-167736123.010728,15392.113302297379,0.0,-1963.8700000000001
3200.0,-76855.96029192937,-7116.870000000001,25773.0,0.4877923528989637,-76856.44808428228,573092916.2874403,-839071301.1060325,76856.93587663518,2800.0,-9916.87
3300.0,-140324.73073292844,-17999.570000000003,33363.0,0.0,-140324.73073292844,916416680.9293631,-1516665322.9064522,140324.73073292844,0.0,-17999.570000000003
3400.0,-108637.96990944375,-13686.22,26123.0,0.032114468422030376,-108638.00202391218,713153297.562156,-1169703304.6359494,108638.03413838061,300.0,-13986.22
3450.0,-2365.6478505299337,-185.79000000000002,1689.0,0.0,-2365.6478505299337,40486536.418640465,-19895864.86572934,2365.6478505299337,0.0,-185.79000000000002
3500.0,-368496.34376146505,-45309.41,72552.0,0.0,-368496.34376146505,2347711619.7623906,-3835176552.9712634,368496.34376146505,0.0,-45309.41
3550.0,-1095.8429910612867,-86.58,666.0,0.0,-1095.8429910612867,18067632.469641194,-9084769.671578752,1095.8429910612867,0.0,-86.58
3600.0,-77805.55779832808,-8895.75,16693.0,0.09218360660314034,-77805.64998193468,547786843.8867067,-786010701.3254582,77805.74216554128,300.0,-9195.75
3650.0,-1313.2296913034859,-103.2,688.0,0.0,-1313.2296913034859,20853862.929782785,-10746558.73100915,1313.2296913034859,0.0,-103.2
3700.0,-106300.52872699201,-12465.789999999999,19530.0,0.0,-106300.52872699201,711074120.5186394,-1061154160.1015079,106300.52872699201,0.0,-12465.789999999999
3750.0,-3088.513949501864,-225.75,1923.0,0.0,-3088.513949501864,57400047.225908086,-23963309.4907341,3088.513949501864,0.0,-225.75
3800.0,-279989.2227199374,-34714.149999999994,44484.0,0.0453970822974039,-279989.2681170197,1628308668.1191046,-2856878470.1185966,279989.31351410196,100.0,-34814.149999999994
