date,spot,expiry,T_days,strike,call_mid,call_iv,put_mid,put_iv
2026-08-05,7785.86,2026-08-06,1.0,5900.0,1870.35,1.3131,0.03,1.4809
2026-08-05,7785.86,2026-08-06,1.0,6000.0,1770.35,1.2377,0.03,1.3955
2026-08-05,7785.86,2026-08-06,1.0,6100.0,1670.35,1.1632,0.03,1.3113
2026-08-05,7785.86,2026-08-06,1.0,6200.0,1570.35,1.0897,0.03,1.2283
2026-08-05,7785.86,2026-08-06,1.0,6300.0,1470.35,1.017,0.03,1.1463
2026-08-05,7785.86,2026-08-06,1.0,6325.0,1445.35,0.9359,0.03,1.1259
2026-08-05,7785.86,2026-08-06,1.0,6350.0,1420.2,1.0323,0.03,1.1057
2026-08-05,7785.86,2026-08-06,1.0,6375.0,1395.35,0.9928,0.03,1.0855
2026-08-05,7785.86,2026-08-06,1.0,6400.0,1370.35,0.9452,0.03,1.0653
2026-08-05,7785.86,2026-08-06,1.0,6425.0,1345.35,0.87,0.03,1.0452
2026-08-05,7785.86,2026-08-06,1.0,6450.0,1320.35,0.957,0.03,1.0252
2026-08-05,7785.86,2026-08-06,1.0,6475.0,1295.4,0.9192,0.03,1.0052
2026-08-05,7785.86,2026-08-06,1.0,6500.0,1270.4,0.8741,0.03,0.9853
2026-08-05,7785.86,2026-08-06,1.0,6525.0,1245.4,0.8045,0.03,0.9654
2026-08-05,7785.86,2026-08-06,1.0,6550.0,1220.45,0.8826,0.03,0.9456
2026-08-05,7785.86,2026-08-06,1.0,6575.0,1195.45,0.8465,0.03,0.9258
2026-08-05,7785.86,2026-08-06,1.0,6600.0,1170.45,0.8038,0.03,0.9061
2026-08-05,7785.86,2026-08-06,1.0,6625.0,1145.35,0.7394,0.03,0.8865
2026-08-05,7785.86,2026-08-06,1.0,6650.0,1120.45,0.8089,0.03,0.8669
2026-08-05,7785.86,2026-08-06,1.0,6675.0,1095.45,0.7744,0.05,0.8909
2026-08-05,7785.86,2026-08-06,1.0,6700.0,1070.45,0.7341,0.05,0.8706
2026-08-05,7785.86,2026-08-06,1.0,6725.0,1045.45,0.6747,0.05,0.8502
2026-08-05,7785.86,2026-08-06,1.0,6750.0,1020.35,0.7359,0.05,0.8299
2026-08-05,7785.86,2026-08-06,1.0,6775.0,995.35,0.7031,0.05,0.8097
2026-08-05,7785.86,2026-08-06,1.0,6800.0,970.45,0.665,0.05,0.7895
2026-08-05,7785.86,2026-08-06,1.0,6825.0,945.45,0.6104,0.05,0.7693
2026-08-05,7785.86,2026-08-06,1.0,6840.0,930.45,0.6755,0.05,0.7572
2026-08-05,7785.86,2026-08-06,1.0,6850.0,920.45,0.6637,0.05,0.7492
2026-08-05,7785.86,2026-08-06,1.0,6860.0,910.45,0.6515,0.05,0.7411
2026-08-05,7785.86,2026-08-06,1.0,6870.0,900.45,0.6389,0.05,0.7331
2026-08-05,7785.86,2026-08-06,1.0,6875.0,895.45,0.6324,0.05,0.7291
2026-08-05,7785.86,2026-08-06,1.0,6880.0,890.45,0.6257,0.05,0.7251
2026-08-05,7785.86,2026-08-06,1.0,6890.0,880.5,0.6117,0.05,0.7171
2026-08-05,7785.86,2026-08-06,1.0,6900.0,870.5,0.5966,0.08,0.7324
2026-08-05,7785.86,2026-08-06,1.0,6910.0,860.5,0.5795,0.08,0.7241
2026-08-05,7785.86,2026-08-06,1.0,6920.0,850.5,0.5591,0.08,0.7159
2026-08-05,7785.86,2026-08-06,1.0,6925.0,845.5,0.5464,0.08,0.7118
2026-08-05,7785.86,2026-08-06,1.0,6930.0,840.5,0.5301,0.08,0.7077
2026-08-05,7785.86,2026-08-06,1.0,6940.0,830.5,0.6032,0.08,0.6994
2026-08-05,7785.86,2026-08-06,1.0,6950.0,820.5,0.592,0.08,0.6912
2026-08-05,7785.86,2026-08-06,1.0,6960.0,810.5,0.5804,0.08,0.683
2026-08-05,7785.86,2026-08-06,1.0,6970.0,800.55,0.5684,0.08,0.6748
2026-08-05,7785.86,2026-08-06,1.0,6975.0,795.55,0.5622,0.08,0.6707
2026-08-05,7785.86,2026-08-06,1.0,6980.0,790.55,0.5559,0.08,0.6666
2026-08-05,7785.86,2026-08-06,1.0,6990.0,780.55,0.5428,0.08,0.6584
2026-08-05,7785.86,2026-08-06,1.0,6995.0,775.55,0.5358,0.08,0.6543
2026-08-05,7785.86,2026-08-06,1.0,7000.0,770.55,0.5286,0.08,0.6502
2026-08-05,7785.86,2026-08-06,1.0,7005.0,765.55,0.5209,0.08,0.6461
2026-08-05,7785.86,2026-08-06,1.0,7010.0,760.55,0.5128,0.08,0.6421
2026-08-05,7785.86,2026-08-06,1.0,7015.0,755.55,0.504,0.08,0.638
2026-08-05,7785.86,2026-08-06,1.0,7020.0,750.55,0.4941,0.08,0.6339
2026-08-05,7785.86,2026-08-06,1.0,7025.0,745.45,0.4827,0.1,0.6454
2026-08-05,7785.86,2026-08-06,1.0,7030.0,740.55,0.4684,0.1,0.6412
2026-08-05,7785.86,2026-08-06,1.0,7035.0,735.55,0.4466,0.1,0.6371
2026-08-05,7785.86,2026-08-06,1.0,7040.0,730.55,0.5316,0.1,0.6329
2026-08-05,7785.86,2026-08-06,1.0,7045.0,725.55,0.5262,0.1,0.6287
2026-08-05,7785.86,2026-08-06,1.0,7050.0,720.55,0.5208,0.1,0.6246
2026-08-05,7785.86,2026-08-06,1.0,7055.0,715.55,0.5153,0.1,0.6204
2026-08-05,7785.86,2026-08-06,1.0,7060.0,710.55,0.5098,0.1,0.6162
2026-08-05,7785.86,2026-08-06,1.0,7065.0,705.55,0.5041,0.1,0.6121
2026-08-05,7785.86,2026-08-06,1.0,7070.0,700.55,0.4984,0.1,0.6079
2026-08-05,7785.86,2026-08-06,1.0,7075.0,695.55,0.4926,0.1,0.6037
2026-08-05,7785.86,2026-08-06,1.0,7080.0,690.65,0.4866,0.1,0.5996
2026-08-05,7785.86,2026-08-06,1.0,7085.0,685.65,0.4805,0.1,0.5954
2026-08-05,7785.86,2026-08-06,1.0,7090.0,680.65,0.4742,0.1,0.5912
2026-08-05,7785.86,2026-08-06,1.0,7095.0,675.65,0.4678,0.1,0.5871
2026-08-05,7785.86,2026-08-06,1.0,7100.0,670.75,0.461,0.1,0.5829
2026-08-05,7785.86,2026-08-06,1.0,7105.0,665.75,0.4539,0.1,0.5787
2026-08-05,7785.86,2026-08-06,1.0,7110.0,660.75,0.4465,0.1,0.5746
2026-08-05,7785.86,2026-08-06,1.0,7115.0,655.75,0.4384,0.1,0.5704
2026-08-05,7785.86,2026-08-06,1.0,7120.0,650.75,0.4295,0.1,0.5663
2026-08-05,7785.86,2026-08-06,1.0,7125.0,645.65,0.4193,0.1,0.5621
2026-08-05,7785.86,2026-08-06,1.0,7130.0,640.65,0.4067,0.1,0.5579
2026-08-05,7785.86,2026-08-06,1.0,7135.0,635.65,0.3885,0.12,0.5651
2026-08-05,7785.86,2026-08-06,1.0,7140.0,630.65,0.4603,0.12,0.5608
2026-08-05,7785.86,2026-08-06,1.0,7145.0,625.65,0.4552,0.12,0.5566
2026-08-05,7785.86,2026-08-06,1.0,7150.0,620.65,0.45,0.12,0.5524
2026-08-05,7785.86,2026-08-06,1.0,7155.0,615.65,0.4448,0.12,0.5481
2026-08-05,7785.86,2026-08-06,1.0,7160.0,610.65,0.4395,0.12,0.5439
2026-08-05,7785.86,2026-08-06,1.0,7165.0,605.65,0.4342,0.12,0.5397
2026-08-05,7785.86,2026-08-06,1.0,7170.0,600.75,0.9901,0.12,0.5355
2026-08-05,7785.86,2026-08-06,1.0,7175.0,595.75,0.9852,0.12,0.5312
2026-08-05,7785.86,2026-08-06,1.0,7180.0,590.75,0.4177,0.12,0.527
2026-08-05,7785.86,2026-08-06,1.0,7185.0,585.75,0.412,0.15,0.5318
2026-08-05,7785.86,2026-08-06,1.0,7190.0,580.75,0.4061,0.15,0.5276
2026-08-05,7785.86,2026-08-06,1.0,7195.0,575.75,0.4,0.15,0.5233
2026-08-05,7785.86,2026-08-06,1.0,7200.0,570.7,0.3938,0.15,0.519
2026-08-05,7785.86,2026-08-06,1.0,7205.0,565.7,0.3873,0.15,0.5147
2026-08-05,7785.86,2026-08-06,1.0,7210.0,560.7,0.3804,0.15,0.5104
2026-08-05,7785.86,2026-08-06,1.0,7215.0,555.7,0.3731,0.15,0.5061
2026-08-05,7785.86,2026-08-06,1.0,7220.0,550.7,0.365,0.15,0.5018
2026-08-05,7785.86,2026-08-06,1.0,7225.0,545.7,0.356,0.15,0.4976
2026-08-05,7785.86,2026-08-06,1.0,7230.0,540.7,0.3451,0.15,0.4933
2026-08-05,7785.86,2026-08-06,1.0,7235.0,535.7,0.3299,0.17,0.4964
2026-08-05,7785.86,2026-08-06,1.0,7240.0,530.7,0.2639,0.17,0.4921
2026-08-05,7785.86,2026-08-06,1.0,7245.0,525.8,0.3845,0.17,0.4877
2026-08-05,7785.86,2026-08-06,1.0,7250.0,520.8,0.3796,0.17,0.4834
2026-08-05,7785.86,2026-08-06,1.0,7255.0,515.8,0.3746,0.17,0.479
2026-08-05,7785.86,2026-08-06,1.0,7260.0,510.8,0.3696,0.17,0.4747
2026-08-05,7785.86,2026-08-06,1.0,7265.0,505.8,0.3646,0.2,0.4767
2026-08-05,7785.86,2026-08-06,1.0,7270.0,500.8,0.3594,0.2,0.4723
2026-08-05,7785.86,2026-08-06,1.0,7275.0,495.75,0.3543,0.2,0.468
2026-08-05,7785.86,2026-08-06,1.0,7280.0,490.75,0.349,0.2,0.4636
2026-08-05,7785.86,2026-08-06,1.0,7285.0,485.75,0.3436,0.2,0.4592
2026-08-05,7785.86,2026-08-06,1.0,7290.0,480.75,0.3382,0.2,0.4548
