date,spot,expiry,T_days,strike,call_mid,call_iv,put_mid,put_iv
2026-07-23,7408.3,2026-07-24,1.0,5600.0,1820.95,2.8848,0.03,1.5082
2026-07-23,7408.3,2026-07-24,1.0,5700.0,1721.1,2.7347,0.03,1.4181
2026-07-23,7408.3,2026-07-24,1.0,5800.0,1621.2,2.5841,0.03,1.3293
2026-07-23,7408.3,2026-07-24,1.0,5900.0,1521.2,2.4311,0.03,1.2418
2026-07-23,7408.3,2026-07-24,1.0,5950.0,1471.2,2.3552,0.05,1.2581
2026-07-23,7408.3,2026-07-24,1.0,5975.0,1446.2,2.3174,0.05,1.2356
2026-07-23,7408.3,2026-07-24,1.0,6000.0,1420.95,2.2711,0.05,1.2132
2026-07-23,7408.3,2026-07-24,1.0,6025.0,1395.9,2.2318,0.05,1.1908
2026-07-23,7408.3,2026-07-24,1.0,6050.0,1371.2,2.2045,0.05,1.1685
2026-07-23,7408.3,2026-07-24,1.0,6075.0,1345.05,2.1279,0.05,1.1463
2026-07-23,7408.3,2026-07-24,1.0,6100.0,1321.3,2.1329,0.05,1.1242
2026-07-23,7408.3,2026-07-24,1.0,6125.0,1296.3,2.0955,0.05,1.1021
2026-07-23,7408.3,2026-07-24,1.0,6150.0,1271.3,2.0582,0.05,1.0801
2026-07-23,7408.3,2026-07-24,1.0,6175.0,1245.05,1.9808,0.05,1.0581
2026-07-23,7408.3,2026-07-24,1.0,6200.0,1221.2,1.9808,0.05,1.0362
2026-07-23,7408.3,2026-07-24,1.0,6225.0,1196.3,1.9468,0.05,1.0144
2026-07-23,7408.3,2026-07-24,1.0,6250.0,1171.3,1.9097,0.05,0.9926
2026-07-23,7408.3,2026-07-24,1.0,6275.0,1146.3,1.8727,0.05,0.9709
2026-07-23,7408.3,2026-07-24,1.0,6300.0,1121.35,1.8373,0.05,0.9493
2026-07-23,7408.3,2026-07-24,1.0,6325.0,1096.4,1.8018,0.05,0.9277
2026-07-23,7408.3,2026-07-24,1.0,6350.0,1071.2,1.7593,0.05,0.9061
2026-07-23,7408.3,2026-07-24,1.0,6375.0,1046.4,1.7281,0.05,0.8846
2026-07-23,7408.3,2026-07-24,1.0,6400.0,1021.4,1.6913,0.05,0.8632
2026-07-23,7408.3,2026-07-24,1.0,6425.0,996.4,1.6545,0.05,0.8418
2026-07-23,7408.3,2026-07-24,1.0,6450.0,971.4,1.6178,0.05,0.8205
2026-07-23,7408.3,2026-07-24,1.0,6475.0,945.15,1.5475,0.05,0.7992
2026-07-23,7408.3,2026-07-24,1.0,6500.0,921.4,1.5444,0.05,0.778
2026-07-23,7408.3,2026-07-24,1.0,6525.0,896.45,1.5089,0.05,0.7568
2026-07-23,7408.3,2026-07-24,1.0,6550.0,871.45,1.4722,0.07,0.7599
2026-07-23,7408.3,2026-07-24,1.0,6560.0,861.5,1.4588,0.07,0.7512
2026-07-23,7408.3,2026-07-24,1.0,6570.0,851.5,1.4441,0.1,0.7607
2026-07-23,7408.3,2026-07-24,1.0,6575.0,846.5,1.4368,0.1,0.7562
2026-07-23,7408.3,2026-07-24,1.0,6580.0,841.5,1.4294,0.1,0.7518
2026-07-23,7408.3,2026-07-24,1.0,6590.0,831.5,1.4147,0.1,0.743
2026-07-23,7408.3,2026-07-24,1.0,6600.0,821.5,1.4,0.1,0.7341
2026-07-23,7408.3,2026-07-24,1.0,6610.0,811.5,1.3854,0.08,0.7079
2026-07-23,7408.3,2026-07-24,1.0,6620.0,801.5,1.3707,0.1,0.7164
2026-07-23,7408.3,2026-07-24,1.0,6625.0,796.5,1.3633,0.1,0.712
2026-07-23,7408.3,2026-07-24,1.0,6630.0,791.5,1.356,0.1,0.7076
2026-07-23,7408.3,2026-07-24,1.0,6640.0,781.5,1.3413,0.1,0.6988
2026-07-23,7408.3,2026-07-24,1.0,6650.0,770.25,1.2971,0.08,0.6733
2026-07-23,7408.3,2026-07-24,1.0,6660.0,761.5,1.3119,0.1,0.6812
2026-07-23,7408.3,2026-07-24,1.0,6670.0,751.5,1.2972,0.1,0.6724
2026-07-23,7408.3,2026-07-24,1.0,6675.0,746.5,1.2898,0.1,0.668
2026-07-23,7408.3,2026-07-24,1.0,6680.0,741.5,1.2825,0.1,0.6636
2026-07-23,7408.3,2026-07-24,1.0,6690.0,731.5,1.2677,0.1,0.6548
2026-07-23,7408.3,2026-07-24,1.0,6700.0,720.25,1.2247,0.1,0.646
2026-07-23,7408.3,2026-07-24,1.0,6710.0,711.5,1.2383,0.1,0.6372
2026-07-23,7408.3,2026-07-24,1.0,6720.0,700.3,1.1969,0.1,0.6284
2026-07-23,7408.3,2026-07-24,1.0,6725.0,696.55,1.2173,0.1,0.624
2026-07-23,7408.3,2026-07-24,1.0,6730.0,691.2,1.2023,0.1,0.6196
2026-07-23,7408.3,2026-07-24,1.0,6740.0,681.55,1.1952,0.1,0.6109
2026-07-23,7408.3,2026-07-24,1.0,6750.0,671.55,1.1804,0.1,0.6021
2026-07-23,7408.3,2026-07-24,1.0,6760.0,661.25,1.1593,0.1,0.5933
2026-07-23,7408.3,2026-07-24,1.0,6770.0,651.55,1.1508,0.1,0.5846
2026-07-23,7408.3,2026-07-24,1.0,6775.0,646.3,1.1382,0.1,0.5802
2026-07-23,7408.3,2026-07-24,1.0,6780.0,641.25,1.1298,0.1,0.5758
2026-07-23,7408.3,2026-07-24,1.0,6790.0,631.3,1.1161,0.1,0.567
2026-07-23,7408.3,2026-07-24,1.0,6800.0,621.3,1.1013,0.1,0.5583
2026-07-23,7408.3,2026-07-24,1.0,6810.0,611.3,1.0866,0.12,0.5608
2026-07-23,7408.3,2026-07-24,1.0,6820.0,601.35,1.0728,0.12,0.5519
2026-07-23,7408.3,2026-07-24,1.0,6825.0,596.35,1.0654,0.12,0.5475
2026-07-23,7408.3,2026-07-24,1.0,6830.0,591.35,1.058,0.12,0.543
2026-07-23,7408.3,2026-07-24,1.0,6840.0,581.35,1.0431,0.12,0.5341
2026-07-23,7408.3,2026-07-24,1.0,6850.0,571.35,1.0283,0.15,0.5344
2026-07-23,7408.3,2026-07-24,1.0,6860.0,561.35,1.0134,0.15,0.5254
2026-07-23,7408.3,2026-07-24,1.0,6870.0,551.35,0.9985,0.15,0.5163
2026-07-23,7408.3,2026-07-24,1.0,6875.0,546.35,0.9911,0.15,0.5118
2026-07-23,7408.3,2026-07-24,1.0,6880.0,541.4,0.9846,0.15,0.5073
2026-07-23,7408.3,2026-07-24,1.0,6890.0,531.4,0.9697,0.15,0.4983
2026-07-23,7408.3,2026-07-24,1.0,6900.0,521.4,0.9547,0.15,0.4893
2026-07-23,7408.3,2026-07-24,1.0,6910.0,511.4,0.9397,0.15,0.4802
2026-07-23,7408.3,2026-07-24,1.0,6920.0,501.4,0.9248,0.15,0.4712
2026-07-23,7408.3,2026-07-24,1.0,6925.0,496.4,0.9173,0.15,0.4667
2026-07-23,7408.3,2026-07-24,1.0,6930.0,491.4,0.9098,0.15,0.4622
2026-07-23,7408.3,2026-07-24,1.0,6940.0,481.4,0.8947,0.15,0.4531
2026-07-23,7408.3,2026-07-24,1.0,6950.0,471.45,0.8805,0.15,0.4441
